TC20 FIXED,TC20 PRECOOLING,TC20 SCI1,TC20 SCI2,OBSERVATION NUMBER,OBSERVATION TYPE,APPROX TC START TIME,COMMENTS
-1,-1,-1,-1,638,Dayside_Nadir,2018 MAY 15 04:58:53, 
1,1,116,116,639,Dayside_Nadir,2018 MAY 15 06:47:07,OBSERVATION_COMMENT
-1,-1,-1,-1,640,Dayside_Nadir,2018 MAY 15 08:55:15, 
-1,-1,-1,-1,641,Dayside_Nadir,2018 MAY 15 08:55:15, 
-1,-1,-1,-1,642,Dayside_Nadir,2018 MAY 15 08:55:15, 
1,1,1934,1934,643,Dayside_Nadir,2018 MAY 15 10:43:21,OBSERVATION_COMMENT
-1,-1,-1,-1,644,Dayside_Nadir,2018 MAY 15 12:51:33, 
-1,-1,-1,-1,645,Dayside_Nadir,2018 MAY 15 12:51:33, 
-1,-1,-1,-1,646,Dayside_Nadir,2018 MAY 15 12:51:33, 
1,1,1107,1107,647,Dayside_Nadir,2018 MAY 15 14:39:47,OBSERVATION_COMMENT
-1,-1,-1,-1,648,Dayside_Nadir,2018 MAY 15 16:48:01, 
-1,-1,-1,-1,649,Dayside_Nadir,2018 MAY 15 16:48:01, 
-1,-1,-1,-1,650,Dayside_Nadir,2018 MAY 15 16:48:01, 
1,1,1837,1837,651,Dayside_Nadir,2018 MAY 15 18:36:15,OBSERVATION_COMMENT
-1,-1,-1,-1,652,Dayside_Nadir,2018 MAY 15 20:44:23, 
-1,-1,-1,-1,653,Dayside_Nadir,2018 MAY 15 20:44:23, 
-1,-1,-1,-1,654,Dayside_Nadir,2018 MAY 15 20:44:23, 
1,1,1033,1033,655,Dayside_Nadir,2018 MAY 15 22:32:29,OBSERVATION_COMMENT
-1,-1,-1,-1,656,Dayside_Nadir,2018 MAY 16 00:40:37, 
-1,-1,-1,-1,657,Dayside_Nadir,2018 MAY 16 00:40:37, 
-1,-1,-1,-1,658,Dayside_Nadir,2018 MAY 16 00:40:37, 
